,bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,yearbuilt,taxamount,fips,parcelid
0,3.0,2.0,1316.0,205123.0,1923.0,2627.48,6037.0,11721753
1,3.0,2.0,1458.0,136104.0,1970.0,2319.9,6037.0,11289917
2,2.0,1.0,1421.0,35606.0,1911.0,543.69,6037.0,11705026
3,4.0,3.0,2541.0,880456.0,2003.0,9819.72,6059.0,14269464
4,3.0,2.0,1491.0,107110.0,1955.0,1399.27,6037.0,11446756
5,3.0,2.0,1650.0,614000.0,1949.0,7673.19,6037.0,11389003
6,2.0,1.0,693.0,274237.0,1921.0,3267.47,6037.0,11967869
7,4.0,2.0,1655.0,164269.0,1955.0,2169.62,6037.0,11429175
8,0.0,0.0,1378.0,168828.0,,2135.39,6037.0,11696784
9,3.0,2.0,1331.0,224906.0,1954.0,4086.17,6037.0,11921077
10,3.0,2.0,1440.0,286062.0,1938.0,6093.88,6037.0,11391972
11,4.0,1.0,2427.0,519963.0,1912.0,6444.87,6037.0,11743374
12,2.0,2.0,1144.0,239109.0,1973.0,3209.98,6111.0,17295416
13,3.0,2.0,1346.0,465102.0,1959.0,5627.16,6037.0,12870253
14,3.0,2.0,1280.0,899750.0,1950.0,10783.39,6037.0,11460552
15,3.0,2.0,1668.0,196483.0,1976.0,2376.34,6059.0,14236060
16,3.0,2.5,1653.0,605000.0,1992.0,6185.28,6059.0,14365030
17,3.0,1.0,879.0,141875.0,1953.0,2015.78,6059.0,14008322
18,3.0,2.0,1108.0,486866.0,1953.0,5990.5,6037.0,11552513
19,3.0,2.0,1947.0,388478.0,1923.0,4784.07,6037.0,12535098
20,3.0,1.0,1004.0,272154.0,1922.0,3307.31,6037.0,12443331
21,4.0,3.0,3416.0,344328.0,1973.0,4136.13,6037.0,12955531
22,2.0,1.0,1061.0,31839.0,1923.0,412.48,6037.0,11391577
23,3.0,2.0,1306.0,203480.0,1963.0,2543.86,6059.0,13880422
24,3.0,2.0,1632.0,499402.0,1970.0,5921.67,6037.0,12814323
25,3.0,3.0,2768.0,151340.0,1951.0,2373.63,6037.0,10976131
26,3.0,3.0,2392.0,845708.0,1963.0,9310.38,6037.0,12057023
27,3.0,2.0,1088.0,130679.0,1955.0,2228.31,6037.0,11187927
28,3.0,2.0,1157.0,85692.0,1954.0,1147.37,6037.0,11451345
29,3.0,2.0,1386.0,52560.0,1957.0,777.51,6037.0,10984661
30,2.0,1.0,728.0,75227.0,1921.0,1471.8,6037.0,12196319
31,3.0,2.0,1191.0,164685.0,1935.0,2169.02,6037.0,11367981
32,3.0,2.0,1358.0,168626.0,1991.0,3107.95,6037.0,11312124
33,5.0,3.0,4048.0,2673077.0,1922.0,32411.31,6037.0,12035592
34,4.0,3.0,2291.0,397616.0,1980.0,5284.09,6037.0,13071085
35,4.0,2.0,2115.0,115306.0,1960.0,1613.84,6037.0,10732347
36,4.0,2.0,1570.0,373282.0,1960.0,4619.79,6037.0,10722858
37,2.0,1.0,918.0,374368.0,1908.0,4406.57,6037.0,12114701
38,3.0,2.0,1050.0,259334.0,1960.0,3345.78,6037.0,13083743
39,3.0,2.0,1373.0,62048.0,1957.0,703.0,6111.0,17086759
40,4.0,2.0,1485.0,63338.0,1959.0,974.9,6059.0,13921492
41,3.0,1.0,1716.0,44455.0,1928.0,690.81,6037.0,11969146
42,5.0,3.0,3048.0,1150000.0,1967.0,12741.62,6037.0,12178305
43,3.0,2.0,2092.0,217006.0,1956.0,3221.12,6037.0,11289757
44,2.0,1.0,1184.0,46336.0,1927.0,603.88,6037.0,11961462
45,3.0,2.0,1569.0,73054.0,1954.0,1206.4,6037.0,12492881
46,2.0,2.0,1069.0,44826.0,1938.0,997.56,6037.0,12285822
47,4.0,2.0,1382.0,185483.0,1953.0,2414.53,6037.0,12519794
48,3.0,2.0,1255.0,188730.0,1955.0,2586.54,6059.0,14092694
49,3.0,2.0,1285.0,82374.0,1954.0,1315.15,6037.0,12749741
50,2.0,1.0,865.0,280000.0,1906.0,3458.73,6037.0,11797465
51,4.0,1.0,1356.0,37019.0,1925.0,532.7,6037.0,11733550
52,3.0,3.0,2057.0,639607.0,1968.0,2562.42,6037.0,10779619
53,4.0,3.0,1502.0,257446.0,1926.0,3366.73,6037.0,11917650
54,4.0,1.5,1973.0,80102.0,1958.0,1148.76,6059.0,14012730
55,0.0,0.0,,5346951.0,,82484.04,6059.0,14430658
56,3.0,1.0,1308.0,219078.0,1930.0,3108.41,6037.0,11830465
57,6.0,2.0,2526.0,94344.0,1950.0,1082.46,6111.0,17165634
58,4.0,4.0,2806.0,708607.0,1967.0,8760.58,6037.0,10811539
59,3.0,1.0,1260.0,466127.0,1923.0,5151.64,6037.0,12048224
60,3.0,1.0,1934.0,382158.0,1939.0,4781.2,6059.0,14010551
61,2.0,1.0,959.0,66488.0,1923.0,1246.35,6037.0,12811794
62,0.0,0.0,,2578702.0,,30456.4,6037.0,11999890
63,3.0,2.0,1560.0,465101.0,1954.0,5826.88,6037.0,12347492
64,3.0,2.0,1353.0,246816.0,1956.0,3378.03,6037.0,12941764
65,3.0,1.0,1102.0,206623.0,1955.0,2601.94,6037.0,10871677
66,2.0,1.5,1080.0,137444.0,1964.0,1929.18,6059.0,14257065
67,5.0,3.0,2259.0,119245.0,1964.0,1562.52,6037.0,11499751
68,4.0,3.0,3588.0,142693.0,1951.0,2007.31,6037.0,11603473
69,3.0,1.0,927.0,46933.0,1910.0,588.64,6037.0,11958628
70,4.0,2.0,2121.0,74714.0,1924.0,1128.2,6037.0,12118682
71,3.0,3.0,1572.0,404060.0,1961.0,4934.43,6037.0,11056104
72,4.0,3.0,3041.0,245311.0,1949.0,2963.65,6037.0,11503172
73,3.0,2.0,1692.0,649169.0,1923.0,8063.11,6037.0,11993956
74,4.0,2.0,1611.0,89640.0,1956.0,1144.73,6037.0,11054736
75,2.0,2.0,1078.0,124006.0,1985.0,2290.48,6037.0,11206210
76,3.0,2.0,1476.0,58143.0,1948.0,881.04,6037.0,12563708
77,2.0,1.0,1387.0,280967.0,1951.0,3401.88,6059.0,13857433
78,3.0,2.0,1426.0,364081.0,1955.0,4409.28,6059.0,13839883
79,3.0,3.0,1732.0,174459.0,1986.0,3028.09,6037.0,11206381
80,4.0,2.0,1622.0,300777.0,1951.0,3912.97,6037.0,12482839
81,3.0,1.5,1122.0,199838.0,1963.0,2418.9,6059.0,14054846
82,3.0,1.5,1125.0,84341.0,1955.0,1195.28,6059.0,13989370
83,4.0,3.5,3137.0,600238.0,1989.0,6131.32,6059.0,14482667
84,5.0,2.5,2531.0,122618.0,1968.0,1694.88,6059.0,14286211
85,3.0,1.0,1448.0,352291.0,1948.0,4275.09,6037.0,10924250
86,4.0,2.0,1560.0,311209.0,1963.0,3729.48,6059.0,14174538
87,4.0,2.0,1344.0,85677.0,1949.0,1104.82,6037.0,10885672
88,3.0,1.0,1122.0,444000.0,1950.0,5548.73,6037.0,12484642
89,2.0,2.0,1445.0,529000.0,1959.0,6692.25,6037.0,12739947
90,4.0,3.5,3259.0,901542.0,1992.0,8724.3,6059.0,14472456
91,5.0,6.0,3540.0,8000000.0,1953.0,83955.53,6037.0,11513448
92,3.0,1.0,1335.0,63192.0,1950.0,1049.18,6059.0,13844056
93,4.0,2.0,1914.0,414743.0,1963.0,4729.32,6059.0,14053136
94,3.0,4.0,3324.0,709615.0,1998.0,7957.48,6059.0,14175466
95,4.0,3.0,2610.0,710674.0,1995.0,8752.83,6037.0,12846559
96,2.0,1.0,987.0,357144.0,1937.0,4253.64,6059.0,13837417
97,2.0,1.0,1114.0,524529.0,1939.0,6159.04,6059.0,14280254
98,2.0,1.0,914.0,39917.0,1920.0,789.28,6059.0,13842033
99,4.0,3.0,1976.0,468642.0,1977.0,5369.16,6059.0,14056849
100,4.0,2.5,2101.0,567655.0,2001.0,6772.14,6059.0,14173678
101,3.0,2.0,1641.0,130161.0,1960.0,1666.61,6037.0,12614763
102,3.0,3.0,2149.0,211886.0,1989.0,3441.14,6037.0,11206504
103,3.0,3.5,4511.0,5422228.0,2008.0,57183.3,6059.0,13894337
104,4.0,2.0,1576.0,82375.0,1952.0,1046.08,6037.0,10827194
105,4.0,2.0,1700.0,194600.0,1969.0,3099.72,6037.0,11289836
106,4.0,2.0,1591.0,87378.0,1990.0,1964.11,6037.0,11288389
107,3.0,2.0,1530.0,465989.0,1980.0,6345.94,6037.0,11166665
108,4.0,2.5,2019.0,75126.0,1955.0,1106.88,6059.0,13935796
109,3.0,2.0,1205.0,443008.0,1946.0,4865.23,6037.0,10957128
110,4.0,2.0,1370.0,121927.0,1957.0,2231.08,6037.0,11287385
111,5.0,7.5,6278.0,1389230.0,1998.0,15101.52,6111.0,17208785
112,2.0,1.5,1142.0,192248.0,1974.0,2341.24,6059.0,14100525
113,3.0,2.0,1692.0,240173.0,1953.0,3042.5,6037.0,12792562
114,4.0,2.0,1909.0,551273.0,1962.0,6043.06,6059.0,14224435
115,6.0,4.0,4105.0,397335.0,1969.0,5138.06,6037.0,10867744
116,3.0,3.0,2323.0,426415.0,1985.0,5043.06,6059.0,13909504
117,2.0,2.0,1766.0,203113.0,1939.0,2486.26,6037.0,12462465
118,3.0,1.0,1493.0,304000.0,1951.0,5363.37,6037.0,12265744
119,4.0,2.0,1767.0,554788.0,1966.0,6299.18,6059.0,14185262
120,3.0,1.0,1014.0,329298.0,1949.0,4132.95,6037.0,11033823
121,2.0,1.0,1268.0,309098.0,1949.0,3762.96,6037.0,12460440
122,3.0,3.0,2020.0,120877.0,1957.0,1801.99,6037.0,12752649
123,3.0,2.5,1398.0,501586.0,1987.0,5128.66,6059.0,14217005
124,3.0,1.5,1463.0,47572.0,1955.0,874.76,6059.0,13973341
